Name,Online_Name,Stock,Company,Category,Price,Attributes,Packing_Charges
Mixed Fried Rice **new**,Mixed Fried Rice **New**,,,Rice,299,non-veg,6
Mixed Hot Garlic Fried Rice **new**,Mixed Hot Garlic Fried Rice **New**,,,Rice,299,non-veg,6
Mixed Schezwan Fried Rice **new**,Mixed Schezwan Fried Rice **NEW**,,,Rice,299,non-veg,6
Mixed Hakka Noodles **new**,Mixed Hakka Noodles **NEW**,,,Noodles,299,non-veg,6
Mixed Schezwan Noodles **new**,Mixed Schezwan Noodles **NEW**,,,Noodles,299,non-veg,6
Mixed Hot Garlic Noodles **new**,Mixed Hot Garlic Noodles **NEW**,,,Noodles,299,non-veg,6
The Pahadi Bistro Special Chutney,The pahadi bistro special chutney,,,Chutney,20,veg,3
Veg Kothey Momos,Veg Kothey Momos,,,Momos,169,veg,6
Chicken Kothey Momos,Chicken Kothey Momos,,,Momos,199,non-veg,6
Mixed Pan Fried Noodles **new**,Mixed Pan Fried Noodles **NEW**,,,Noodles,309,non-veg,6
Mixed Triple Schezwan Fried Rice **new**,Mixed Triple Schezwan Fried Rice **NEW**,,,Rice,299,non-veg,6
Veg Thukpa **new**,Veg Thukpa **NEW**,,,Noodles,259,veg,6
Chicken Thukpa **new**,Chicken Thukpa **NEW**,,,Noodles,279,non-veg,6
Soyabean Keema Noodles **new**,Soyabean Keema Noodles **NEW**,,,Noodles,259,veg,6
Chicken Keema Noodles **new**,Chicken Keema Noodles **NEW**,,,Noodles,279,non-veg,6
Mojito,mojito,,,Drinks,149,veg,0
Fresh Lemon Soda,fresh lemon soda,,,Drinks,149,veg,0
Cold Coffee,cold coffee,,,Drinks,149,veg,0
Cold Coffee With Ice Cream,cold coffee with ice cream,,,Drinks,169,veg,0
Sadeko Wai Wai,Sadeko Wai Wai,,,Appetizers,149,veg,6
Veg Clear Soup,Veg Clear Soup,,,Soup,149,veg,6
Chicken Triple Schezwan Fried Rice,Chicken Triple Schezwan Fried Rice,,,Rice,249,non-veg,6
Veg Hot Garlic Noodles,Veg Hot Garlic Noodles,,,Noodles,219,veg,6
Chicken Hot Garlic Noodles,Chicken Hot Garlic Noodles,,,Noodles,239,non-veg,6
Prawn Hot Garlic Noodles,Prawn Hot Garlic Noodles,,,Noodles,269,non-veg,6
Darsaan,Darsaan,,,Desserts,189,veg,6
Hot Darjeeling Tea,Hot Darjeeling Tea,,,Drinks,49,veg,6
Diet Coke Can [ 300 Ml ],Diet Coke Can [ 300 Ml ],DIET_COKE_300ML,,Drinks,50,veg,0
Crispy Lotus Stem,Crispy Lotus Stem,,,Appetizers,269,Non-veg,6
